timestamp,interval,data,direction,jitter
1755183555.669905,0.010069847106933594,00DC050000,T,6.175041198730469e-05
1755183555.679887,0.009982109069824219,00DC050000,T,8.7738037109375e-05
1755183555.689864,0.009976863861083984,00DC050000,T,5.245208740234375e-06
1755183555.699912,0.010048151016235352,00DC050000,T,7.128715515136719e-05
1755183555.709907,0.009994983673095703,00DC050000,T,5.316734313964844e-05
1755183555.719874,0.009966850280761719,00DC050000,T,2.8133392333984375e-05
1755183555.72988,0.010006189346313477,00DC050000,T,3.933906555175781e-05
1755183555.739885,0.010004997253417969,00DC050000,T,1.1920928955078125e-06
1755183555.749972,0.010087013244628906,00DC050000,T,8.20159912109375e-05
1755183555.759884,0.00991201400756836,00DC050000,T,0.00017499923706054688
1755183555.769876,0.009991884231567383,00DC050000,T,7.987022399902344e-05
1755183555.779948,0.010071992874145508,00DC050000,T,8.0108642578125e-05
1755183555.789858,0.009910106658935547,00DC050000,T,0.00016188621520996094
1755183555.799924,0.010065793991088867,00DC050000,T,0.0001556873321533203
1755183555.809869,0.009945154190063477,00DC050000,T,0.00012063980102539062
1755183555.819883,0.010014057159423828,00DC050000,T,6.890296936035156e-05
1755183555.829857,0.009974002838134766,00DC050000,T,4.00543212890625e-05
1755183555.83987,0.01001286506652832,00DC050000,T,3.886222839355469e-05
1755183555.849884,0.010014057159423828,00DC050000,T,1.1920928955078125e-06
1755183555.859876,0.009991884231567383,00DC050000,T,2.2172927856445312e-05
1755183555.869845,0.009968996047973633,00DC050000,T,2.288818359375e-05
1755183555.879849,0.010004043579101562,00DC050000,T,3.504753112792969e-05
1755183555.889861,0.010012149810791016,00DC050000,T,8.106231689453125e-06
1755183555.899881,0.010019779205322266,00DC050000,T,7.62939453125e-06
1755183555.909925,0.010044097900390625,00DC050000,T,2.4318695068359375e-05
1755183555.919845,0.009920120239257812,00DC050000,T,0.0001239776611328125
1755183555.929958,0.010113000869750977,00DC050000,T,0.00019288063049316406
